Started training file with epochs: 20, batch_size: 10, lambda_1: 0.5, lambda_2: 0.5, alfa: 0.5, beta: 0.5, beta_1: 0.5, beta_2: 0.99, learning_rate: 0.001
Epoch: 1 | D: loss 0.13231736421585083 | G: loss 802.9478149414062
Epoch: 2 | D: loss 0.12344478815793991 | G: loss 632.151611328125
Epoch: 3 | D: loss 0.1056528389453888 | G: loss 510.3919982910156
Epoch: 4 | D: loss 0.07383883744478226 | G: loss 266.24676513671875
Epoch: 5 | D: loss 0.03552992269396782 | G: loss 66.6916732788086
Epoch: 6 | D: loss 0.01345930714160204 | G: loss 14.410774230957031
Epoch: 7 | D: loss 0.007215821649879217 | G: loss 8.396117210388184
Epoch: 8 | D: loss 0.004505536984652281 | G: loss 5.382662773132324
Epoch: 9 | D: loss 0.0035203266888856888 | G: loss 3.7098822593688965
Epoch: 10 | D: loss 0.0027732914313673973 | G: loss 2.571164131164551
Epoch: 11 | D: loss 0.00244695576839149 | G: loss 1.9097164869308472
Epoch: 12 | D: loss 0.0022071406710892916 | G: loss 1.5221147537231445
Epoch: 13 | D: loss 0.002090941183269024 | G: loss 1.3049533367156982
Epoch: 14 | D: loss 0.001985565759241581 | G: loss 1.200947880744934
Epoch: 15 | D: loss 0.0019668068271130323 | G: loss 1.1509150266647339
Epoch: 16 | D: loss 0.0019902025815099478 | G: loss 1.0440940856933594
Epoch: 17 | D: loss 0.002090557012706995 | G: loss 0.9868872761726379
Epoch: 18 | D: loss 0.002148990985006094 | G: loss 0.9553691148757935
Epoch: 19 | D: loss 0.0022037916351109743 | G: loss 0.938157856464386
Epoch: 20 | D: loss 0.0021404121071100235 | G: loss 0.913145124912262
